#,Wine,Country,Region,Classification,Style,Grapes
1066,Languedoc,France,Languedoc,AOC,Red,Grenache; Syrah; Mourvèdre
1067,Lanzarote,Spain,Canary Islands,DO,White,Malvasía Volcánica
1068,Laona Akamas,Cyprus,Paphos,PDO,White,Xynisteri
1069,Las Compuertas,Argentina,Mendoza,GI,Red,Malbec
1070,Las Piedras,Uruguay,Canelones,Regional,Red,Tannat
1071,Latricières-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1072,Laurelwood District,United States,Oregon,AVA,Red,Pinot Noir
1073,Lavaux,Switzerland,Vaud,AOC,White,Chasselas
1074,Le Mesnil-sur-Oger,France,Champagne,Grand Cru village,Sparkling,Chardonnay
1075,Lebrija,Spain,Andalusia,DO,Fortified,Palomino; Moscatel
1076,Lechința,Romania,Transylvania,DOC,White,Fetească Albă
1077,Leelanau Peninsula,United States,Michigan,AVA,White,Riesling; Pinot Grigio
1078,Lefkada,Greece,Ionian Islands,PGI,Red,Vertzami
1079,Lehigh Valley,United States,Pennsylvania,AVA,White,Chardonnay; Grüner Veltliner
1080,Leithaberg,Austria,Burgenland,DAC,Red,Blaufränkisch
1081,Lemnos,Greece,Aegean Islands,PDO,White,Muscat of Alexandria
1082,Lenswood,Australia,South Australia,GI,Red,Pinot Noir; Sauvignon Blanc
1083,Les Baux-de-Provence,France,Provence,AOC,Red,Grenache; Syrah; Mourvèdre
1084,Lessini Durello,Italy,Veneto,DOC,Sparkling,Durella
1085,Lessona,Italy,Piedmont,DOC,Red,Nebbiolo
1086,Leverano,Italy,Puglia,DOC,Red,Negroamaro
1087,Lewis-Clark Valley,United States,Idaho,AVA,Red,Syrah; Merlot
1088,Leyda Valley,Chile,Aconcagua,DO,Red,Pinot Noir; Sauvignon Blanc
1089,Liebfraumilch,Germany,Rheinhessen,Region-wide style,Sweet White,Müller-Thurgau; Riesling
1090,Lillooet,Canada,British Columbia,BC GI,Red,Pinot Noir
1091,Limarí Valley,Chile,Coquimbo,DO,White,Chardonnay; Syrah
1092,Limburg,Netherlands,Limburg,PGI,White,Auxerrois; Riesling
1093,Lime Kiln Valley,United States,California (Central Coast),AVA,Red,Cabernet Pfeffer
1094,Limestone Coast,Australia,South Australia,GI,Red,Cabernet Sauvignon
1095,Limoux,France,Languedoc,AOC,White,Chardonnay; Chenin Blanc; Mauzac
1096,Linares,Chile,Central Valley,DO,Red,País
1097,Lincoln Lakeshore,Canada,Ontario,VQA,White,Riesling
1098,Linganore,United States,Maryland,AVA,Red,Chambourcin
1099,Lirac,France,Rhône (Southern),AOC,Red,Grenache; Syrah; Mourvèdre
1100,Lison,Italy,Friuli-Venezia Giulia,DOCG,White,Friulano
1101,Listrac-Médoc,France,Bordeaux (Left Bank),AOC,Red,Merlot; Cabernet Sauvignon
1102,Litoměřice,Czechia,Bohemia,PDO,White,Müller-Thurgau
1103,Livermore Valley,United States,California (Bay Area),AVA,White,Sauvignon Blanc; Chardonnay
1104,Lizzano,Italy,Puglia,DOC,Red,Negroamaro
1105,Ljutomer-Ormož,Slovenia,Podravje,PDO,White,Laški Rizling; Šipon
1106,Loazzolo,Italy,Piedmont,DOC,Sweet White,Moscato Bianco
1107,Locorotondo,Italy,Puglia,DOC,White,Verdeca; Bianco d'Alessano
1108,Lodi,United States,California (Central Valley),AVA,Red,Zinfandel; Cabernet Sauvignon
1109,Loess Hills District,United States,Missouri,AVA,Red,Norton
1110,Lolol,Chile,Central Valley,DO,Red,Carmenère
1111,Long Island,United States,New York,AVA,Red,Merlot; Cabernet Franc
1112,Los Balagueses,Spain,Valencia,DO de Pago,Red,Bobal; Syrah
1113,Los Carneros,United States,California (Napa),AVA,White,Chardonnay; Pinot Noir
1114,Los Chacayes,Argentina,Mendoza,GI,Red,Malbec; Cabernet Franc
1115,Los Olivos District,United States,California (Central Coast),AVA,Red,Syrah; Grenache
1116,Loupiac,France,Bordeaux (Entre-Deux-Mers),AOC,Sweet White,Sémillon; Sauvignon Blanc
1117,Lourinhã,Portugal,Lisboa,DOC,White,Malvasia Rei
1118,Louvois,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
1119,Lower Galilee,Israel,Galilee,Regional,Red,Cabernet Sauvignon; Merlot
1120,Lower Long Tom,United States,Oregon,AVA,Red,Pinot Noir
1121,Lower Murray,Australia,South Australia,GI,Red,Shiraz
1122,Lower Silesia,Poland,Dolnośląskie,PGI,White,Solaris; Riesling
1123,Luberon,France,Rhône (Southern),AOC,Rosé,Grenache; Syrah
1124,Lugana,Italy,Lombardy,DOC,White,Turbiana
1125,Luján de Cuyo,Argentina,Mendoza,GI,Red,Malbec
1126,Lunlunta,Argentina,Mendoza,GI,Red,Malbec
1127,Lussac-Saint-Émilion,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1128,Lutzville Valley,South Africa,Coastal Region,WO,White,Chenin Blanc
1129,Lyaskovets,Bulgaria,Danubian Plain,PDO,Sparkling,Chardonnay
1130,Macedon Ranges,Australia,Victoria,GI,Sparkling,Chardonnay; Pinot Noir
1131,Mâcon,France,Burgundy (Mâconnais),AOC,White,Chardonnay
1132,Mâcon-Villages,France,Burgundy (Mâconnais),AOC,White,Chardonnay
1133,Macvin du Jura,France,Jura,AOC,Fortified,Chardonnay; Savagnin
1134,Madaba,Jordan,Madaba,Regional,Red,Cabernet Sauvignon
1135,Madeira Bual,Portugal,Madeira,DOC,Fortified,Boal
1136,Madeira Malmsey,Portugal,Madeira,DOC,Fortified,Malvasia
1137,Madeira Rainwater,Portugal,Madeira,DOC,Fortified,Tinta Negra
1138,Madeira Sercial,Portugal,Madeira,DOC,Fortified,Sercial
1139,Madeira Terrantez,Portugal,Madeira,DOC,Fortified,Terrantez
1140,Madeira Tinta Negra,Portugal,Madeira,DOC,Fortified,Tinta Negra
1141,Madeira Verdelho,Portugal,Madeira,DOC,Fortified,Verdelho
1142,Madera,United States,California (Central Valley),AVA,Red,Zinfandel
1143,Madiran,France,Southwest France,AOC,Red,Tannat
1144,Mailly-Champagne,France,Champagne,Grand Cru village,Sparkling,Pinot Noir
1145,Maindreieck,Germany,Franken,Bereich,White,Silvaner
1146,Mainviereck,Germany,Franken,Bereich,Red,Spätburgunder
1147,Maipo Valley,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1148,Maipú,Argentina,Mendoza,GI,Red,Malbec; Cabernet Sauvignon
1149,Majes,Peru,Arequipa,Regional,Red,Cabernet Sauvignon
1150,Málaga,Spain,Andalusia,DO,Fortified,Pedro Ximénez; Moscatel
1151,Maldonado,Uruguay,Maldonado,Regional,Red,Tannat; Albariño
1152,Malepère,France,Languedoc,AOC,Red,Merlot; Cabernet Franc
1153,Malibu Coast,United States,California (Southern),AVA,Red,Cabernet Sauvignon; Syrah
1154,Malibu-Newton Canyon,United States,California (Southern),AVA,Red,Cabernet Sauvignon
1155,Malleco Valley,Chile,Southern Chile,DO,White,Chardonnay; Pinot Noir
1156,Malmesbury,South Africa,Coastal Region,WO,Red,Syrah
1157,Małopolski Przełom Wisły,Poland,Małopolska,PGI,White,Solaris; Seyval Blanc
1158,Malta DOK,Malta,Malta,PDO,Red,Ġellewża; Syrah
1159,Malvasia delle Lipari,Italy,Sicily,DOC,Sweet White,Malvasia di Lipari
1160,Malvasia di Bosa,Italy,Sardinia,DOC,Fortified,Malvasia di Sardegna
1161,Malvasia di Casorzo,Italy,Piedmont,DOC,Sweet Red,Malvasia di Casorzo
1162,Malvasia di Castelnuovo Don Bosco,Italy,Piedmont,DOC,Sweet Red,Malvasia di Schierano
1163,Malvasia of Candia,Greece,Crete,PDO,Sweet White,Assyrtiko; Athiri; Vidiano
1164,Malvasia of Sitia,Greece,Crete,PDO,Sweet White,Assyrtiko; Thrapsathiri
1165,Malvazija Istarska,Croatia,Istria & Kvarner,PDO,White,Malvazija Istarska
1166,Malvoisie du Valais,Switzerland,Valais,AOC,Sweet White,Pinot Gris
1167,Mambourg,France,Alsace,AOC Grand Cru,White,Gewurztraminer
1168,Mamertino,Italy,Sicily,DOC,Red,Nero d'Avola; Nocera
1169,Manas,China,Xinjiang,Regional,Red,Cabernet Sauvignon; Merlot
1170,Manavi,Georgia,Kakheti,PDO,White,Mtsvane Kakhuri
1171,Manchuela,Spain,Castilla-La Mancha,DO,Red,Bobal
1172,Mandelberg,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
1173,Mandrolisai,Italy,Sardinia,DOC,Red,Bovale; Cannonau; Monica
1174,Manisa,Turkey,Aegean,Regional,Red,Kalecik Karası; Syrah
1175,Manjimup,Australia,Western Australia,GI,Red,Cabernet Sauvignon; Merlot
1176,Mantinia,Greece,Peloponnese,PDO,White,Moschofilero
1177,Manzanilla de Sanlúcar,Spain,Andalusia,DO,Fortified,Palomino
1178,Maranges,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
1179,Marchigüe,Chile,Central Valley,DO,Red,Cabernet Sauvignon
1180,Marcillac,France,Southwest France,AOC,Red,Fer Servadou
1181,Marckrain,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
1182,Maremma Toscana,Italy,Tuscany,DOC,Red,Sangiovese; Cabernet Sauvignon; Merlot
1183,Margaret River,Australia,Western Australia,GI,Red,Cabernet Sauvignon; Chardonnay
1184,Margaux,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1185,Maribor,Slovenia,Podravje,PDO,White,Laški Rizling
1186,Marignan,France,Savoie & Bugey,Cru,White,Chasselas
1187,Marin,France,Savoie & Bugey,Cru,White,Chasselas
1188,Marino,Italy,Lazio,DOC,White,Malvasia; Trebbiano
1189,Markgräflerland,Germany,Baden,Bereich,White,Gutedel
1190,Marlborough,New Zealand,Marlborough,GI,White,Sauvignon Blanc; Pinot Noir
1191,Marsala,Italy,Sicily,DOC,Fortified,Grillo; Catarratto; Inzolia
1192,Marsannay,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
1193,Marsaxlokk,Malta,Malta,Regional,Red,Ġellewża
1194,Marselan (China),China,National,Grape wine,Red,Marselan
1195,Martha's Vineyard,United States,Massachusetts,AVA,White,Chardonnay
1196,Martina Franca,Italy,Puglia,DOC,White,Verdeca
1197,Martinborough,New Zealand,Wairarapa,GI,Red,Pinot Noir
1198,Massandra,Ukraine,Crimea,Historic estate,Fortified,Muscat; Kokur
1199,Massif d'Uchaux,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1200,Matakana,New Zealand,Auckland,GI,Red,Syrah; Merlot
1201,Matera,Italy,Basilicata,DOC,Red,Primitivo; Sangiovese
1202,Matino,Italy,Puglia,DOC,Red,Negroamaro
1203,Mátra,Hungary,Mátra,PDO,White,Olaszrizling; Muscat
1204,Maule Valley,Chile,Central Valley,DO,Red,Carignan; Cabernet Sauvignon
1205,Maury,France,Roussillon,AOC,Fortified,Grenache
1206,Mavrodaphne of Cephalonia,Greece,Ionian Islands,PDO,Fortified,Mavrodaphne
1207,Mavrodaphne of Patras,Greece,Peloponnese,PDO,Fortified,Mavrodaphne
1208,Mavrud of Asenovgrad,Bulgaria,Thracian Valley,PDO,Red,Mavrud
1209,Maximin Grünhäuser Abtsberg,Germany,Mosel,Einzellage,White,Riesling
1210,Mazis-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1211,Mazoyères-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1212,McDowell Valley,United States,California (Mendocino),AVA,Red,Syrah; Grenache
1213,McLaren Vale,Australia,South Australia,GI,Red,Shiraz; Grenache
1214,McMinnville,United States,Oregon,AVA,Red,Pinot Noir
1215,Médoc,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1216,Melissa,Italy,Calabria,DOC,Red,Gaglioppo
1217,Melnik,Bulgaria,Struma Valley,PDO,Red,Shiroka Melnishka Loza
1218,Mělník,Czechia,Bohemia,PDO,Red,Svatovavřinecké; Rulandské Modré
1219,Mendocino Ridge,United States,California (Mendocino),AVA,Red,Zinfandel; Pinot Noir
1220,Mendoza,Argentina,Mendoza,GI,Red,Malbec; Cabernet Sauvignon; Bonarda
1221,Menetou-Salon,France,Loire (Central),AOC,White,Sauvignon Blanc
1222,Menfi,Italy,Sicily,DOC,White,Inzolia; Chardonnay
1223,Méntrida,Spain,Castilla-La Mancha,DO,Red,Garnacha
1224,Mercurey,France,Burgundy (Côte Chalonnaise),AOC,Red,Pinot Noir
1225,Meritage,United States,California,Trademark blend,Red,Cabernet Sauvignon; Merlot; Cabernet Franc
1226,Merlara,Italy,Veneto,DOC,Red,Merlot; Raboso
1227,Merritt Island,United States,California (Central Valley),AVA,White,Chenin Blanc
1228,Mesilla Valley,United States,New Mexico,AVA,White,Chardonnay; Riesling
1229,Mesilla Valley (TX),United States,Texas,AVA,Red,Cabernet Sauvignon
1230,Messenikola,Greece,Thessaly,PDO,Red,Mavro Messenikola
1231,Messinia,Greece,Peloponnese,PGI,White,Roditis
1232,Methode Cap Classique,South Africa,National,Style,Sparkling,Chardonnay; Pinot Noir
1233,Metsovo,Greece,Epirus,PGI,Red,Cabernet Sauvignon
1234,Meursault,France,Burgundy (Côte de Beaune),AOC,White,Chardonnay
1235,Middle Rio Grande Valley,United States,New Mexico,AVA,Sparkling,Chardonnay; Pinot Noir
1236,Middleburg Virginia,United States,Virginia,AVA,Red,Cabernet Franc; Merlot
1237,Mikulov,Czechia,Moravia,PDO,White,Ryzlink Vlašský; Pálava
1238,Mikulov Pálava,Czechia,Moravia,PDO,White,Pálava
1239,Milestii Mici,Moldova,Codru,Regional,Red,Cabernet Sauvignon
1240,Mimbres Valley,United States,New Mexico,AVA,Red,Cabernet Sauvignon
1241,Minervois,France,Languedoc,AOC,Red,Syrah; Grenache; Carignan
1242,Minervois La Livinière,France,Languedoc,AOC,Red,Syrah; Grenache; Mourvèdre
1243,Miniș,Romania,Banat & Crișana,DOC,Red,Cadarcă; Cabernet Sauvignon
1244,Misket of Varna,Bulgaria,Black Sea,PDO,White,Red Misket
1245,Mittelburgenland,Austria,Burgenland,DAC,Red,Blaufränkisch
1246,Mittelhaardt-Deutsche Weinstraße,Germany,Pfalz,Bereich,White,Riesling
1247,Mittelrhein,Germany,Mittelrhein,Anbaugebiet,White,Riesling
1248,Modena,Italy,Emilia-Romagna,DOC,Sparkling Red,Lambrusco Grasparossa
1249,Modra,Slovakia,Malokarpatská,PDO,White,Grüner Veltliner
1250,Moenchberg,France,Alsace,AOC Grand Cru,White,Riesling; Pinot Gris
1251,Mokelumne River,United States,California (Central Valley),AVA,Red,Zinfandel
1252,Molinos,Argentina,Salta,GI,Red,Malbec
1253,Monbazillac,France,Southwest France,AOC,Sweet White,Sémillon; Sauvignon Blanc; Muscadelle
1254,Mondéjar,Spain,Castilla-La Mancha,DO,Red,Tempranillo
1255,Mondeuse de Savoie,France,Savoie & Bugey,AOC,Red,Mondeuse Noire
1256,Monemvasia-Malvasia,Greece,Peloponnese,PDO,Sweet White,Monemvasia; Assyrtiko
1257,Monferrato,Italy,Piedmont,DOC,Red,Barbera; Nebbiolo
1258,Monica di Sardegna,Italy,Sardinia,DOC,Red,Monica
1259,Monmouthshire,United Kingdom,Wales,Regional,White,Solaris
1260,Monreale,Italy,Sicily,DOC,Red,Nero d'Avola; Perricone
1261,Montagne-Saint-Émilion,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1262,Montagny,France,Burgundy (Côte Chalonnaise),AOC,White,Chardonnay
1263,Montagu,South Africa,Klein Karoo,WO,Fortified,Muscat
1264,Monte Belo,Brazil,Rio Grande do Sul,IP,Red,Merlot; Cabernet Sauvignon
1265,Montecarlo,Italy,Tuscany,DOC,White,Trebbiano Toscano; Sémillon
1266,Montecompatri Colonna,Italy,Lazio,DOC,White,Malvasia; Trebbiano
1267,Montecucco Sangiovese,Italy,Tuscany,DOCG,Red,Sangiovese
1268,Montefalco Rosso,Italy,Umbria,DOC,Red,Sangiovese; Sagrantino
1269,Montefalco Sagrantino,Italy,Umbria,DOCG,Red,Sagrantino
1270,Montello Rosso,Italy,Veneto,DOCG,Red,Cabernet Sauvignon; Merlot
1271,Montepulciano d'Abruzzo,Italy,Abruzzo,DOC,Red,Montepulciano
1272,Montepulciano d'Abruzzo Colline Teramane,Italy,Abruzzo,DOCG,Red,Montepulciano
1273,Monterey,United States,California (Central Coast),AVA,White,Chardonnay; Pinot Noir
1274,Monterrei,Spain,Galicia,DO,White,Godello; Treixadura
1275,Montescudaio,Italy,Tuscany,DOC,Red,Sangiovese
1276,Montevideo,Uruguay,Montevideo,Regional,Red,Tannat; Merlot
1277,Monthélie,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
1278,Monti Lessini,Italy,Veneto,DOC,White,Durella; Garganega
1279,Monticello,United States,Virginia,AVA,Red,Cabernet Franc; Petit Verdot
1280,Montilla-Moriles,Spain,Andalusia,DO,Fortified,Pedro Ximénez
1281,Montlouis-sur-Loire,France,Loire (Touraine),AOC,White,Chenin Blanc
1282,Montmélian,France,Savoie & Bugey,Cru,White,Jacquère
1283,Montrachet,France,Burgundy (Côte de Beaune),AOC Grand Cru,White,Chardonnay
1284,Montravel,France,Southwest France,AOC,White,Sémillon; Sauvignon Blanc
1285,Monts du Tessalah,Algeria,Tlemcen,AOG,Red,Carignan
1286,Montsant,Spain,Catalonia,DO,Red,Garnacha; Cariñena
1287,Montsant Falset,Spain,Catalonia,DO,Red,Garnacha; Cariñena
1288,Moon Mountain District,United States,California (Sonoma),AVA,Red,Cabernet Sauvignon
1289,Moquegua,Peru,Moquegua,Regional,Red,Quebranta; Italia
1290,Mór,Hungary,Észak-Dunántúl,PDO,White,Ezerjó
1291,Morellino di Scansano,Italy,Tuscany,DOCG,Red,Sangiovese
1292,Morey-Saint-Denis,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
1293,Morgon,France,Beaujolais,AOC Cru,Red,Gamay
1294,Mornag,Tunisia,Nabeul,AOC,Red,Carignan; Syrah
1295,Mornington Peninsula,Australia,Victoria,GI,Red,Pinot Noir; Chardonnay
1296,Moscadello di Montalcino,Italy,Tuscany,DOC,Sweet White,Moscato Bianco
1297,Moscatel de Chipiona,Spain,Andalusia,DO,Fortified,Moscatel
1298,Moscatel de Setúbal,Portugal,Setúbal,DOC,Fortified,Moscatel de Setúbal
1299,Moscatel do Douro,Portugal,Douro,DOC,Fortified,Moscatel Galego
1300,Moscatel Roxo,Portugal,Setúbal,DOC,Fortified,Moscatel Roxo
1301,Moscato d'Asti,Italy,Piedmont,DOCG,Sparkling,Moscato Bianco
1302,Moscato di Pantelleria,Italy,Sicily,DOC,Sweet White,Zibibbo
1303,Moscato di Sardegna,Italy,Sardinia,DOC,Sweet White,Moscato Bianco
1304,Moscato di Scanzo,Italy,Lombardy,DOCG,Sweet Red,Moscato di Scanzo
1305,Moscato di Sorso-Sennori,Italy,Sardinia,DOC,Sweet White,Moscato Bianco
1306,Mosel,Germany,Mosel,Anbaugebiet,White,Riesling; Müller-Thurgau; Elbling
1307,Moselle,France,Lorraine,AOC,White,Auxerrois; Pinot Gris
1308,Moselle Luxembourgeoise,Luxembourg,Moselle,AOP,White,Rivaner; Auxerrois; Riesling
1309,Moseltor,Germany,Mosel,Bereich,White,Elbling
1310,Moulin-à-Vent,France,Beaujolais,AOC Cru,Red,Gamay
1311,Moulis-en-Médoc,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
1312,Mount Barker,Australia,Western Australia,GI,White,Riesling; Shiraz
1313,Mount Benson,Australia,South Australia,GI,Red,Shiraz; Cabernet Sauvignon
1314,Mount Harlan,United States,California (Central Coast),AVA,Red,Pinot Noir; Chardonnay
1315,Mount Lebanon,Lebanon,Mount Lebanon,Regional,Red,Syrah; Cabernet Sauvignon
1316,Mount Lofty Ranges,Australia,South Australia,GI,White,Chardonnay
1317,Mount Nebo,Jordan,Amman,Regional,Red,Cabernet Sauvignon; Merlot
1318,Mount Pisgah,United States,Oregon,AVA,Red,Pinot Noir
1319,Mount Pisgah Polk County,United States,Oregon,AVA,Red,Pinot Noir
1320,Mount Veeder,United States,California (Napa),AVA,Red,Cabernet Sauvignon
1321,Mount Veeder District,United States,California (Napa),AVA,Red,Cabernet Sauvignon
1322,Moura,Portugal,Alentejo,DOC,Red,Alfrocheiro; Trincadeira
1323,Moutere Hills,New Zealand,Nelson,Regional,White,Chardonnay
1324,Mudgee,Australia,New South Wales,GI,Red,Shiraz; Cabernet Sauvignon
1325,Muenchberg,France,Alsace,AOC Grand Cru,White,Riesling
1326,Mukuzani,Georgia,Kakheti,PDO,Red,Saperavi
1327,Murfatlar,Romania,Dobrogea,DOC,Sweet White,Chardonnay; Pinot Gris
1328,Murray Darling,Australia,New South Wales,GI,Red,Shiraz; Chardonnay
1329,Murray Darling (Vic),Australia,Victoria,GI,Red,Shiraz
1330,Muscadet,France,Loire (Pays Nantais),AOC,White,Melon de Bourgogne
1331,Muscadet Coteaux de la Loire,France,Loire (Pays Nantais),AOC,White,Melon de Bourgogne
1332,Muscadet Côtes de Grandlieu,France,Loire (Pays Nantais),AOC,White,Melon de Bourgogne
1333,Muscadet Sèvre et Maine,France,Loire (Pays Nantais),AOC,White,Melon de Bourgogne
1334,Muscat Bailey A,Japan,National,Grape wine,Red,Muscat Bailey A
1335,Muscat de Beaumes-de-Venise,France,Rhône (Southern),AOC,Fortified,Muscat Blanc à Petits Grains
1336,Muscat de Frontignan,France,Languedoc,AOC,Fortified,Muscat Blanc à Petits Grains
1337,Muscat de Kelibia,Tunisia,Nabeul,AOC,White,Muscat of Alexandria
1338,Muscat de Lunel,France,Languedoc,AOC,Fortified,Muscat Blanc à Petits Grains
1339,Muscat de Mireval,France,Languedoc,AOC,Fortified,Muscat Blanc à Petits Grains
1340,Muscat de Rivesaltes,France,Roussillon,AOC,Fortified,Muscat of Alexandria; Muscat Blanc
1341,Muscat de Saint-Jean-de-Minervois,France,Languedoc,AOC,Fortified,Muscat Blanc à Petits Grains
1342,Muscat du Cap Corse,France,Corsica,AOC,Fortified,Muscat Blanc à Petits Grains
1343,Muscat of Lemnos,Greece,Aegean Islands,PDO,Fortified,Muscat of Alexandria
1344,Muscat of Patras,Greece,Peloponnese,PDO,Fortified,Muscat Blanc
1345,Muscat of Rhodes,Greece,Aegean Islands,PDO,Fortified,Muscat Blanc
1346,Muscat of Rio Patras,Greece,Peloponnese,PDO,Fortified,Muscat Blanc
1347,Muscat of Samos,Greece,Aegean Islands,PDO,Fortified,Muscat Blanc
1348,Musigny,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1349,Mutare,Zimbabwe,Manicaland,Regional,Red,Pinotage
1350,Naches Heights,United States,Washington,AVA,White,Riesling; Pinot Gris
1351,Nagambie Lakes,Australia,Victoria,GI,White,Marsanne; Shiraz
1352,Nagano,Japan,Nagano,GI,Red,Merlot; Chardonnay
1353,Nagy-Somló,Hungary,Balaton,PDO,White,Juhfark
1354,Nahe,Germany,Nahe,Anbaugebiet,White,Riesling
1355,Nahetal,Germany,Nahe,Bereich,White,Riesling
1356,Naivasha,Kenya,Rift Valley,Regional,Red,Shiraz; Sauvignon Blanc
1357,Nandi Hills,India,Karnataka,Regional,Red,Shiraz; Viognier
1358,Naoussa,Greece,Macedonia,PDO,Red,Xinomavro
1359,Napa Valley,United States,California (Napa),AVA,Red,Cabernet Sauvignon; Merlot
1360,Napareuli,Georgia,Kakheti,PDO,Red,Saperavi
1361,Naramata Bench,Canada,British Columbia,BC GI,White,Riesling; Pinot Gris
1362,Nardò,Italy,Puglia,DOC,Red,Negroamaro; Malvasia Nera
1363,Nasco di Cagliari,Italy,Sardinia,DOC,Sweet White,Nasco
1364,Nashik,India,Maharashtra,Regional,Red,Cabernet Sauvignon; Shiraz; Chenin Blanc
1365,Navarra,Spain,Navarra & Aragón,DO,Rosé,Garnacha; Tempranillo
1366,Naxos,Greece,Cyclades,PGI,White,Assyrtiko
1367,Nebbiolo d'Alba,Italy,Piedmont,DOC,Red,Nebbiolo
1368,Negev,Israel,Negev,Regional,Red,Cabernet Sauvignon; Petit Verdot
1369,Negotinska Krajina,Serbia,Eastern Serbia,PDO,Red,Prokupac; Cabernet Sauvignon
1370,Negroamaro di Terra d'Otranto,Italy,Puglia,DOC,Red,Negroamaro
1371,Negru de Purcari,Moldova,Ștefan Vodă,Brand-appellation,Red,Cabernet Sauvignon; Rara Neagră; Saperavi
1372,Nelson,New Zealand,Nelson,GI,White,Sauvignon Blanc; Chardonnay
1373,Nemea,Greece,Peloponnese,PDO,Red,Agiorgitiko
1374,Neretva Valley,Croatia,Dalmatia,PDO,Red,Plavac Mali
1375,Neszmély,Hungary,Észak-Dunántúl,PDO,White,Olaszrizling
1376,Nettuno,Italy,Lazio,DOC,Red,Sangiovese; Merlot
1377,Neuchâtel,Switzerland,Neuchâtel,AOC,White,Chasselas
1378,Neuquén,Argentina,Patagonia,GI,Red,Malbec; Pinot Noir
1379,Neusiedlersee,Austria,Burgenland,DAC,Red,Zweigelt
1380,Neusiedlersee-Hügelland,Austria,Burgenland,DAC,White,Welschriesling
1381,Nevada,United States,Nevada,Regional,Red,Cabernet Sauvignon
1382,New England Australia,Australia,New South Wales,GI,Red,Shiraz
1383,Niagara Escarpment,United States,New York,AVA,White,Riesling
1384,Niagara Lakeshore,Canada,Ontario,VQA,Red,Cabernet Franc
1385,Niagara Peninsula,Canada,Ontario,VQA,White,Riesling; Chardonnay; Cabernet Franc
1386,Niagara River,Canada,Ontario,VQA,Red,Cabernet Franc
1387,Nicorești,Romania,Moldovan Hills,DOC,Red,Băbească Neagră
1388,Niederhäuser Hermannshöhle,Germany,Nahe,Einzellage,White,Riesling
1389,Nierstein,Germany,Rheinhessen,Bereich,White,Riesling; Silvaner
1390,Niersteiner Pettenthal,Germany,Rheinhessen,Einzellage,White,Riesling
1391,Nihon Alps Wine Valley,Japan,Nagano,Regional,White,Chardonnay
1392,Niigata,Japan,Niigata,Regional,White,Albariño
1393,Ninh Thuận,Vietnam,Ninh Thuận,Regional,Red,Cardinal
1394,Nitra,Slovakia,Nitrianska,PDO,White,Devín; Welschriesling
1395,Nizza,Italy,Piedmont,DOCG,Red,Barbera
1396,North Bali (Singaraja),Indonesia,Bali,Regional,Rosé,Alphonse Lavallée; Belgia
1397,North Canterbury,New Zealand,Canterbury,GI,Red,Pinot Noir; Riesling
1398,North East Victoria,Australia,Victoria,GI,Fortified,Muscat à Petits Grains Rouge
1399,North Fork of Long Island,United States,New York,AVA,Red,Merlot
1400,North Fork of Roanoke,United States,Virginia,AVA,Red,Cabernet Franc
1401,North Yuba,United States,California (Sierra Foothills),AVA,Red,Cabernet Sauvignon
1402,Northern Sonoma,United States,California (Sonoma),AVA,Red,Cabernet Sauvignon; Chardonnay
1403,Northland,New Zealand,Northland,GI,Red,Syrah; Chardonnay
1404,Norwegian Wine,Norway,Vestfold,Regional,White,Solaris
1405,Noto,Italy,Sicily,DOC,Red,Nero d'Avola
1406,Novo Selo,Bulgaria,Danubian Plain,PDO,Red,Gamza
1407,Nuits-Saint-Georges,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
1408,Nuragus di Cagliari,Italy,Sardinia,DOC,White,Nuragus
1409,Nyons,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
1410,Oak Knoll District,United States,California (Napa),AVA,White,Chardonnay; Cabernet Sauvignon
1411,Oakville,United States,California (Napa),AVA,Red,Cabernet Sauvignon
1412,Obermosel,Germany,Mosel,Bereich,White,Elbling
1413,Óbidos,Portugal,Lisboa,DOC,White,Arinto; Fernão Pires
1414,Occhio di Pernice,Italy,Tuscany,DOC,Sweet Red,Sangiovese
